"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sobha Ltd","SOBHA","532784","Real Estate","3826832866.9","3683651000","3.14","2570587","146750","6.05","/mutual-fund/holding-history/189268/1261/"
"LT Foods Ltd","LTFOODS","532783","Consumer Defensive","2911588898.9","2959011000","2.52","6726554","-316544","-4.49","/mutual-fund/holding-history/189268/302/"
"The South Indian Bank Ltd","SOUTHBANK","532218","Financial Services","2772270496.14","2796938000","2.38","94875787","1130822","1.21","/mutual-fund/holding-history/189268/1270/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2608991996.4","2401312000","2.04","1286739","81000","6.72","/mutual-fund/holding-history/189268/1424/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","2090019481.9","2130916000","1.81","5346002","-38863","-0.72","/mutual-fund/holding-history/189268/1034/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2063643886","2114460000","1.8","260594","-2359","-0.9","/mutual-fund/holding-history/189268/88/"
"REC Ltd","RECLTD","532955","Financial Services","1937618867.8","1976180000","1.68","4912204","1431800","41.14","/mutual-fund/holding-history/189268/1119/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","1850184716.9","1893569000","1.61","5290777","150947","2.94","/mutual-fund/holding-history/189268/105/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","1694714712.9","1667189000","1.42","3296469","","","/mutual-fund/holding-history/189268/1565404/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1621738037.25","1609448000","1.37","3964645","675657","20.54","/mutual-fund/holding-history/189268/1026/"
"Shaily Engineering Plastics Ltd","SHAILY","501423","Basic Materials","1347421257","1580022000","1.35","783430","-59533","-7.06","/mutual-fund/holding-history/189268/2105/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1312664100","1422293000","1.21","119878","-4508","-3.62","/mutual-fund/holding-history/189268/1309/"
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","1405872661.71","1388612000","1.18","7016383","114974","1.67","/mutual-fund/holding-history/189268/775/"
"Inox Wind Energy Ltd Ordinary Shares","IWEL","543297","Industrials","1207935015","1357563000","1.16","117355","","","/mutual-fund/holding-history/189268/548271/"
