"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","15259259566.9","15513563000","6.18","10730089","","","/mutual-fund/holding-history/8029/584/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","14399675490.9","14535619000","5.79","18881106","1356054","7.74","/mutual-fund/holding-history/8029/606/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","10173960137","9749278000","3.88","9684874","-392733","-3.9","/mutual-fund/holding-history/8029/864/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","9723933419.2","9282630000","3.7","6938728","","","/mutual-fund/holding-history/8029/141324/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","9162136040","8400734000","3.35","1488568","-87382","-5.54","/mutual-fund/holding-history/8029/1412/"
"Bharat Electronics Ltd","BEL","500049","Industrials","8856846784.6","8114205000","3.23","21097777","-6603158","-23.84","/mutual-fund/holding-history/8029/175/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","7916440400","7979989000","3.18","543152","-77881","-12.54","/mutual-fund/holding-history/8029/60393/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","7757725676.8","7757726000","3.09","2789746","","","/mutual-fund/holding-history/8029/1430/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","7115355291.76","6918144000","2.76","34238068","1186284","3.59","/mutual-fund/holding-history/8029/412/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","7134846734.1","6653774000","2.65","27920665","-1702466","-5.75","/mutual-fund/holding-history/8029/589490/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","5787393982.5","5855051000","2.33","3657121","","","/mutual-fund/holding-history/8029/262/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","5206157369.6","5201925000","2.07","4702093","","","/mutual-fund/holding-history/8029/1359/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","5403623680.5","5063001000","2.02","4499645","-145779","-3.14","/mutual-fund/holding-history/8029/276825/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","4981129776","4716680000","1.88","1584480","","","/mutual-fund/holding-history/8029/807/"
"EIH Ltd","EIHOTEL","500840","Consumer Cyclical","4217923106","4492635000","1.79","12155398","19306","0.16","/mutual-fund/holding-history/8029/363/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","4525830855","4445547000","1.77","145971","","","/mutual-fund/holding-history/8029/18/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","3887838060.75","3887343000","1.55","9896495","","","/mutual-fund/holding-history/8029/1364/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","3986468250","3819191000","1.52","2057532","","","/mutual-fund/holding-history/8029/187/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","3774692728.95","3701428000","1.47","7712111","","","/mutual-fund/holding-history/8029/1061/"
"PI Industries Ltd","PIIND","523642","Basic Materials","3836862462.4","3563260000","1.42","931888","25000","2.76","/mutual-fund/holding-history/8029/1038/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","3600074857.4","3502693000","1.4","2549267","185000","7.82","/mutual-fund/holding-history/8029/1410/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","3824766769.2","3481158000","1.39","1598181","30000","1.91","/mutual-fund/holding-history/8029/253/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","312508185","3135499000","1.25","341539","","","/mutual-fund/holding-history/8029/150/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","2558110303.6","2896511000","1.15","5324959","","","/mutual-fund/holding-history/8029/547977/"
"ABB India Ltd","ABB","500002","Industrials","2879092160","2891684000","1.15","484288","","","/mutual-fund/holding-history/8029/17/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","3178724083.5","2866515000","1.14","1641479","","","/mutual-fund/holding-history/8029/962/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","2699992440","2745548000","1.09","1388885","83000","6.36","/mutual-fund/holding-history/8029/1437/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","2627903860","2698989000","1.08","451336","","","/mutual-fund/holding-history/8029/1124672/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","2448057892","2582517000","1.03","2043454","","","/mutual-fund/holding-history/8029/168/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2513882314.1","2548913000","1.02","7222762","","","/mutual-fund/holding-history/8029/2020/"
"Global Health Ltd","MEDANTA","543654","Healthcare","2460720768","2536284000","1.01","2134560","70000","3.39","/mutual-fund/holding-history/8029/1108489/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","2477815869.6","2532923000","1.01","2213126","-271250","-10.92","/mutual-fund/holding-history/8029/100478/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","2617770210.4","2523133000","1.01","527521","-227765","-30.16","/mutual-fund/holding-history/8029/94155/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","2586628902","2517481000","1","457932","25000","5.77","/mutual-fund/holding-history/8029/683/"
"Vinati Organics Ltd","VINATIORGA","524200","Basic Materials","2500414539","2417024000","0.96","1311177","33553","2.63","/mutual-fund/holding-history/8029/1485/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","2231896959","2316264000","0.92","269114","-75156","-21.83","/mutual-fund/holding-history/8029/144/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","2012079470.61","2289818000","0.91","32034381","545725","1.73","/mutual-fund/holding-history/8029/1337/"
"Coforge Ltd","COFORGE","532541","Technology","491359742.5","2280256000","0.91","266681","","","/mutual-fund/holding-history/8029/942/"
