"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","5639770360","4476288000","3.62","678020","","","/mutual-fund/holding-history/138297/853/"
"KEI Industries Ltd","KEI","517569","Industrials","3276940586.4","3150492000","2.55","872664","","","/mutual-fund/holding-history/138297/729/"
"Bharat Electronics Ltd","BEL","500049","Industrials","3357815168","3067496000","2.48","7975808","-960848","-10.75","/mutual-fund/holding-history/138297/175/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","2845131528.2","2616426000","2.12","1201187","","","/mutual-fund/holding-history/138297/253/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","2439539608","2521335000","2.04","421628","-70304","-14.29","/mutual-fund/holding-history/138297/1124672/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2511704606.6","2348251000","1.9","1258306","","","/mutual-fund/holding-history/138297/1424/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","2445377971.5","2269383000","1.83","1353805","17394","1.3","/mutual-fund/holding-history/138297/665/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","2229946013.1","2151522000","1.74","959901","","","/mutual-fund/holding-history/138297/67/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","1977779288.25","1996728000","1.61","5263551","319000","6.45","/mutual-fund/holding-history/138297/1476/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","2105538380.28","1909420000","1.54","8613018","761763","9.7","/mutual-fund/holding-history/138297/721/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","1894392780","1867407000","1.51","1787163","346500","24.05","/mutual-fund/holding-history/138297/4826/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","1812658848","1848092000","1.49","95766","-17430","-15.4","/mutual-fund/holding-history/138297/202203/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","1860955285.1","1815666000","1.47","1910926","","","/mutual-fund/holding-history/138297/361/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","1841695131.9","1751617000","1.42","1143129","194304","20.48","/mutual-fund/holding-history/138297/209/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","1765319296.9","1659887000","1.34","419047","","","/mutual-fund/holding-history/138297/297909/"
"Sobha Ltd","SOBHA","532784","Real Estate","1661136642","1583772000","1.28","1105214","","","/mutual-fund/holding-history/138297/1261/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","1460832753.6","1570059000","1.27","374832","","","/mutual-fund/holding-history/138297/406/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1632662386.3","1563465000","1.26","617287","","","/mutual-fund/holding-history/138297/1090/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","1533735030.75","1556449000","1.26","4410453","","","/mutual-fund/holding-history/138297/2020/"
"Bikaji Foods International Ltd","BIKAJI","543653","Consumer Defensive","1432496550","1555224000","1.26","2031910","","","/mutual-fund/holding-history/138297/1110875/"
"EPL Ltd Ordinary Shares","EPL","500135","Consumer Cyclical","1462667389","1543597000","1.25","6249380","","","/mutual-fund/holding-history/138297/393/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","1522095053.85","1543142000","1.25","2004471","","","/mutual-fund/holding-history/138297/606/"
"City Union Bank Ltd","CUB","532210","Financial Services","1482822313.83","1521621000","1.23","7775273","702784","9.94","/mutual-fund/holding-history/138297/295/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","1593161203.2","1508050000","1.22","23707756","","","/mutual-fund/holding-history/138297/325199/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","1343255610.35","1475867000","1.19","7359095","","","/mutual-fund/holding-history/138297/63143/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","1455084324","1468742000","1.19","875502","","","/mutual-fund/holding-history/138297/1316/"
"ICRA Ltd","ICRA","532835","Financial Services","1446292889","1467743000","1.19","217766","","","/mutual-fund/holding-history/138297/586/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","1485168345","1453786000","1.18","579013","","","/mutual-fund/holding-history/138297/49/"
"Innova Captab Ltd","INNOVACAP","544067","Healthcare","1367496022.4","1423145000","1.15","1620064","20000","1.25","/mutual-fund/holding-history/138297/1842149/"
"CESC Ltd","CESC","500084","Utilities","1422124922.76","1412039000","1.14","8694821","","","/mutual-fund/holding-history/138297/256/"
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","1338144669.4","1390694000","1.12","1065911","155495","17.08","/mutual-fund/holding-history/138297/2245414/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","1215493788.6","1387606000","1.12","1071014","316896","42.02","/mutual-fund/holding-history/138297/1873481/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","1333652960","1385772000","1.12","1636384","","","/mutual-fund/holding-history/138297/685/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","1307562468.4","1384754000","1.12","6712333","","","/mutual-fund/holding-history/138297/1093348/"
"Indian Bank","INDIANB","532814","Financial Services","1375997123.9","1377114000","1.11","2233399","","","/mutual-fund/holding-history/138297/609/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","136792500","1372485000","1.11","149500","","","/mutual-fund/holding-history/138297/150/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","1339748235","1367177000","1.11","1213650","","","/mutual-fund/holding-history/138297/764/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","1313048292.5","1354022000","1.09","1717975","","","/mutual-fund/holding-history/138297/234/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","1393642173","1337787000","1.08","7417725","","","/mutual-fund/holding-history/138297/911/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","1409866286.4","1327294000","1.07","1179607","","","/mutual-fund/holding-history/138297/276825/"
"Global Health Ltd","MEDANTA","543654","Healthcare","1282368013","1311846000","1.06","1104062","","","/mutual-fund/holding-history/138297/1108489/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","1221760488","1298213000","1.05","1239108","","","/mutual-fund/holding-history/138297/191143/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","1380895890.96","1292644000","1.04","5424212","","","/mutual-fund/holding-history/138297/589490/"
"Cera Sanitaryware Ltd","CERA","532443","Industrials","1348682272.5","1281122000","1.04","201371","","","/mutual-fund/holding-history/138297/254/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","1234080367.5","1260473000","1.02","3258298","","","/mutual-fund/holding-history/138297/404/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1292752020","1241042000","1","1133993","","","/mutual-fund/holding-history/138297/219/"
"Cyient Ltd","CYIENT","532175","Industrials","1186889917.2","1220791000","0.99","906438","","","/mutual-fund/holding-history/138297/301/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","1191342944.1","1211239000","0.98","1058313","","","/mutual-fund/holding-history/138297/100478/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","1324865831","1209593000","0.98","696931","","","/mutual-fund/holding-history/138297/154217/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","1336105118.6","1198299000","0.97","638582","","","/mutual-fund/holding-history/138297/747241/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1250945744.68","1190477000","0.96","4972753","","","/mutual-fund/holding-history/138297/974/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","1212549804.4","1178882000","0.95","2028184","","","/mutual-fund/holding-history/138297/1418/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","1206886662","1178145000","0.95","924180","","","/mutual-fund/holding-history/138297/407835/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1164480000","1136720000","0.92","800000","","","/mutual-fund/holding-history/138297/1127/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","1178976926.4","1128947000","0.91","1156767","","","/mutual-fund/holding-history/138297/1103/"
