"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","12239895740.2","11904472000","9.18","6120866","","","/mutual-fund/holding-history/384583/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","11543879608.9","11673876000","9","8074337","","","/mutual-fund/holding-history/384583/584/"
"Larsen & Toubro Ltd","LT","500510","Industrials","8880152400","9065402000","6.99","2466709","-150","-0.01","/mutual-fund/holding-history/384583/800/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","9363441360","8702586000","6.71","6124700","1500000","32.43","/mutual-fund/holding-history/384583/1127/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","5369565036","5201106000","4.01","422202","","","/mutual-fund/holding-history/384583/842/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4943921346.1","5021848000","3.87","4212253","464880","12.41","/mutual-fund/holding-history/384583/140/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","5574774914","4991073000","3.85","445234","-4841","-1.08","/mutual-fund/holding-history/384583/1443/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","4784730460.5","4378317000","3.38","2358753","70311","3.07","/mutual-fund/holding-history/384583/187/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","4349706750","4211934000","3.25","1288802","80","0.01","/mutual-fund/holding-history/384583/297/"
"Xtrackers Harvest CSI 300 China A ETF","","","","","3596572000","2.77","1596210","","",""
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","3400629006","3412746000","2.63","791949","","","/mutual-fund/holding-history/384583/540/"
"NTPC Ltd","NTPC","532555","Utilities","3102864829.4","3084390000","2.38","9237466","1377016","17.52","/mutual-fund/holding-history/384583/959/"
"DLF Ltd","DLF","532868","Real Estate","3058443147","2936437000","2.26","3680437","1332290","56.74","/mutual-fund/holding-history/384583/337/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2694182095.8","2680600000","2.07","1597878","-450966","-22.01","/mutual-fund/holding-history/384583/1316/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","2267644370.1","2243815000","1.73","2888351","","","/mutual-fund/holding-history/384583/65394/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","2032364106.5","2107952000","1.62","2929745","953650","48.26","/mutual-fund/holding-history/384583/1362/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2049812247","1873692000","1.44","351537","-126000","-26.39","/mutual-fund/holding-history/384583/1784/"
"Vedanta Ltd","VEDL","500295","Basic Materials","1989336872.7","1867563000","1.44","4287826","1837826","75.01","/mutual-fund/holding-history/384583/1289/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","1808040456","1841399000","1.42","2779890","","","/mutual-fund/holding-history/384583/4714/"
