"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Axis Bank Ltd","AXISBANK","532215","Financial Services","19790840448.6","19328779000","6.85","16212698","","","/mutual-fund/holding-history/138155/140/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","15914991444.3","15754602000","5.59","8100469","","","/mutual-fund/holding-history/138155/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","13923627544.8","13493440000","4.78","9496404","","","/mutual-fund/holding-history/138155/1127/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","11229326168.5","11313625000","4.01","6743935","1535505","29.48","/mutual-fund/holding-history/138155/1316/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","10453862847.9","10590845000","3.76","7325249","-1309000","-15.16","/mutual-fund/holding-history/138155/584/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","10849844651.1","10398865000","3.69","5602233","2449782","77.71","/mutual-fund/holding-history/138155/187/"
"Infosys Ltd","INFY","500209","Technology","10684641288.8","10288304000","3.65","6583672","","","/mutual-fund/holding-history/138155/630/"
"State Bank of India","SBIN","500112","Financial Services","9932989525.85","10134481000","3.59","12476279","530292","4.44","/mutual-fund/holding-history/138155/1193/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","8901344943.4","8907735000","3.16","4915426","","","/mutual-fund/holding-history/138155/60957/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","7983208457","7688621000","2.73","624127","","","/mutual-fund/holding-history/138155/842/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","7247936570.4","7228397000","2.56","9304752","","","/mutual-fund/holding-history/138155/65394/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","6931143702","6594960000","2.34","3516562","","","/mutual-fund/holding-history/138155/61147/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","6924395898.29","6581049000","2.33","27489761","-22186","-0.08","/mutual-fund/holding-history/138155/974/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","6762330319.5","6574812000","2.33","8047998","","","/mutual-fund/holding-history/138155/625/"
"Larsen & Toubro Ltd","LT","500510","Industrials","6272852196","6295292000","2.23","1712958","-276000","-13.88","/mutual-fund/holding-history/138155/800/"
"NTPC Ltd","NTPC","532555","Utilities","5768266741.6","5745896000","2.04","17208433","2179218","14.5","/mutual-fund/holding-history/138155/959/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","5279551863.6","5617624000","1.99","7807678","3242400","71.02","/mutual-fund/holding-history/138155/1362/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","5098228704.4","5191298000","1.84","2210662","","","/mutual-fund/holding-history/138155/560/"
"PI Industries Ltd","PIIND","523642","Basic Materials","4700059684","4360456000","1.55","1140376","100000","9.61","/mutual-fund/holding-history/138155/1038/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4424501152.9","4310202000","1.53","9895999","5962364","151.57","/mutual-fund/holding-history/138155/1289/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","4347972860","4299572000","1.52","806674","806674","New","/mutual-fund/holding-history/138155/1784/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","4610274224.6","4290579000","1.52","1072082","","","/mutual-fund/holding-history/138155/53208/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","4627123915.4","4265202000","1.51","2684881","","","/mutual-fund/holding-history/138155/338662/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","3985363948.8","4169159000","1.48","3632304","322686","9.75","/mutual-fund/holding-history/138155/132/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","4030718383.9","3805353000","1.35","3041363","-471875","-13.43","/mutual-fund/holding-history/138155/346/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","3890871877.6","3637215000","1.29","1221854","","","/mutual-fund/holding-history/138155/807/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","3362190857.5","3591103000","1.27","704345","","","/mutual-fund/holding-history/138155/1878/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","2832920220","3112937000","1.1","15522000","","","/mutual-fund/holding-history/138155/63143/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","2619624423","2938963000","1.04","6152964","1670073","37.25","/mutual-fund/holding-history/138155/746520/"
"ITC Ltd","ITC","500875","Consumer Defensive","2924235570.3","2920742000","1.04","6986586","874491","14.31","/mutual-fund/holding-history/138155/647/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","3030119998.5","2873893000","1.02","2013235","","","/mutual-fund/holding-history/138155/913/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","3109769006.3","2841141000","1.01","1636979","","","/mutual-fund/holding-history/138155/154217/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","2888474233.75","2804082000","0.99","3160775","37056","1.19","/mutual-fund/holding-history/138155/1355/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","2483784761.25","2596069000","0.92","3919187","","","/mutual-fund/holding-history/138155/4714/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","2379650145.6","2430578000","0.86","983164","500000","103.48","/mutual-fund/holding-history/138155/153/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","2420227088.6","2375481000","0.84","2086043","","","/mutual-fund/holding-history/138155/712/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","2071340175.05","2186191000","0.78","2303921","","","/mutual-fund/holding-history/138155/677/"
"UPL Ltd","UPL","512070","Basic Materials","2200061244.5","2180613000","0.77","3472867","","","/mutual-fund/holding-history/138155/1455/"
"Zydus Lifesciences Ltd","ZYDUSLIFE","532321","Healthcare","2182740246.7","2120937000","0.75","2280577","","","/mutual-fund/holding-history/138155/229/"
