"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","84590327519.1","84200690000","8.11","43293069","480000","1.12","/mutual-fund/holding-history/15630/533/"
"Bajaj Holdings and Investment Ltd","BAJAJHLDNG","500490","Financial Services","72837263092","71347966000","6.87","5318918","","","/mutual-fund/holding-history/15630/149/"
"Coal India Ltd","COALINDIA","533278","Energy","60731381237.2","61852289000","5.95","155681572","7357797","4.96","/mutual-fund/holding-history/15630/275/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","61031095772.4","60519370000","5.83","208867542","15250894","7.88","/mutual-fund/holding-history/15630/1057/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","49978558090","50583829000","4.87","34986740","","","/mutual-fund/holding-history/15630/584/"
"ITC Ltd","ITC","500875","Consumer Defensive","45740702043.4","45680603000","4.4","109270669","3999573","3.8","/mutual-fund/holding-history/15630/647/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","42469448800","40982030000","3.95","19753232","","","/mutual-fund/holding-history/15630/758/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","38559530870","37223953000","3.58","3021670","","","/mutual-fund/holding-history/15630/842/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","38898215594.8","36410354000","3.51","12231374","1191162","10.79","/mutual-fund/holding-history/15630/807/"
"Meta Platforms Inc Class A","","","Communication Services","","32743290000","3.15","591056","","",""
"Axis Bank Ltd","AXISBANK","532215","Financial Services","33327464029","32496117000","3.13","27257270","","","/mutual-fund/holding-history/15630/140/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","31699740615.9","30017818000","2.89","18341573","-365400","-1.95","/mutual-fund/holding-history/15630/531/"
"Microsoft Corp","","","Technology","","28871772000","2.78","733019","","",""
"Alphabet Inc Class A","","","Communication Services","","27697198000","2.67","1884967","","",""
"Amazon.com Inc","","","Consumer Cyclical","","24087283000","2.32","1373258","","",""
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","22537415067.6","21901445000","2.11","11799076","11032426","1439.04","/mutual-fund/holding-history/15630/187/"
