"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","40507909424.1","39334881000","8.65","20224629","","","/mutual-fund/holding-history/8057/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","30156046969.8","28016691000","6.16","19717567","","","/mutual-fund/holding-history/8057/1127/"
"ITC Ltd","ITC","500875","Consumer Defensive","16020355718.25","16206436000","3.56","38766741","12000000","44.83","/mutual-fund/holding-history/8057/647/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","13757667933.6","13290047000","2.92","6405768","","","/mutual-fund/holding-history/8057/758/"
"GAIL (India) Ltd","GAIL","532155","Utilities","10040520400.68","9868421000","2.17","51993788","","","/mutual-fund/holding-history/8057/431/"
"Punjab National Bank","PNB","532461","Financial Services","9393275442.72","8932390000","1.96","84411174","","","/mutual-fund/holding-history/8057/1048/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","8824284867.75","8533339000","1.88","52995525","","","/mutual-fund/holding-history/8057/1366/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","9058818340","8468374000","1.86","6163300","","","/mutual-fund/holding-history/8057/1410/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","8357978868.9","8232686000","1.81","17046663","","","/mutual-fund/holding-history/8057/303/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","8536362541","7639473000","1.68","19886692","","","/mutual-fund/holding-history/8057/629/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","7565820375","7636065000","1.68","5281550","","","/mutual-fund/holding-history/8057/584/"
"Cognizant Technology Solutions Corp Class A","","","Technology","","7472729000","1.64","1079430","","",""
"Biocon Ltd","BIOCON","532523","Healthcare","7205117683.4","6556052000","1.44","19520774","","","/mutual-fund/holding-history/8057/197/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","6416945425.8","5850837000","1.29","3152051","","","/mutual-fund/holding-history/8057/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","5756124093.5","5846853000","1.29","4904255","","","/mutual-fund/holding-history/8057/140/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","5703596853.7","5845679000","1.28","8824999","","","/mutual-fund/holding-history/8057/4714/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","6086048600","5770815000","1.27","3526100","","","/mutual-fund/holding-history/8057/531/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","5861134288.74","5720861000","1.26","23896662","","","/mutual-fund/holding-history/8057/974/"
"Cipla Ltd","CIPLA","500087","Healthcare","5767372153.5","5623869000","1.24","3836985","","","/mutual-fund/holding-history/8057/268/"
"Petronet LNG Ltd","PETRONET","532522","Energy","5261516246.5","5369857000","1.18","17474315","","","/mutual-fund/holding-history/8057/1025/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","4853169036.6","5118930000","1.13","1004007","","","/mutual-fund/holding-history/8057/1878/"
"Indian Oil Corp Ltd","IOC","530965","Energy","5324522670.6","5117959000","1.12","36049578","19500000","117.83","/mutual-fund/holding-history/8057/639/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","5656105000","5080670000","1.12","8020000","","","/mutual-fund/holding-history/8057/549/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","5651556000","4993036000","1.1","4040000","","","/mutual-fund/holding-history/8057/1521/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","5016653250","4847071000","1.07","393463","","","/mutual-fund/holding-history/8057/842/"
"Infosys Ltd","INFY","500209","Technology","4888226233.6","4705452000","1.03","3011104","","","/mutual-fund/holding-history/8057/630/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","5146482078.25","4586039000","1.01","8199605","","","/mutual-fund/holding-history/8057/77534/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","4620194151.75","4455522000","0.98","17064429","","","/mutual-fund/holding-history/8057/808/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","4103531250","4195913000","0.92","487500","","","/mutual-fund/holding-history/8057/144/"
"State Bank of India","SBIN","500112","Financial Services","4056170986.85","4061922000","0.89","5000519","","","/mutual-fund/holding-history/8057/1193/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","3883310416.85","4025127000","0.88","5594339","","","/mutual-fund/holding-history/8057/1362/"
"Tech Mahindra Ltd","TECHM","532755","Technology","4198052955.6","3913359000","0.86","2486409","","","/mutual-fund/holding-history/8057/1374/"
"Wipro Ltd","WIPRO","507685","Technology","4043250000","3745050000","0.82","15000000","","","/mutual-fund/holding-history/8057/1526/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","3365370676.5","3704613000","0.81","2437085","","","/mutual-fund/holding-history/8057/851/"
"Larsen & Toubro Ltd","LT","500510","Industrials","3639909000","3693476000","0.81","1005000","","","/mutual-fund/holding-history/8057/800/"
"CESC Ltd","CESC","500084","Utilities","3867401507.1","3548997000","0.78","21853430","","","/mutual-fund/holding-history/8057/256/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","3135101667.3","3277202000","0.72","1328039","","","/mutual-fund/holding-history/8057/1436676/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","3253962266.1","3253322000","0.72","16005717","-6183200","-27.87","/mutual-fund/holding-history/8057/705188/"
"EPAM Systems Inc","","","Technology","","3093972000","0.68","207440","","",""
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","3102600000","3062400000","0.67","20000000","","","/mutual-fund/holding-history/8057/878/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","3208229953","3003810000","0.66","628018","","","/mutual-fund/holding-history/8057/94155/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","3032608600.5","2995360000","0.66","8370435","","","/mutual-fund/holding-history/8057/622855/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","2939956560","2959959000","0.65","3101220","","","/mutual-fund/holding-history/8057/829878/"
