"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","39735328596.3","39334881000","8.65","20224629","","","/mutual-fund/holding-history/8058/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","28909896735.4","28016691000","6.16","19717567","","","/mutual-fund/holding-history/8058/1127/"
"ITC Ltd","ITC","500875","Consumer Defensive","16225819445.55","16206436000","3.56","38766741","12000000","44.83","/mutual-fund/holding-history/8058/647/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","13899235406.4","13290047000","2.92","6405768","","","/mutual-fund/holding-history/8058/758/"
"GAIL (India) Ltd","GAIL","532155","Utilities","9455070347.8","9868421000","2.17","51993788","","","/mutual-fund/holding-history/8058/431/"
"Punjab National Bank","PNB","532461","Financial Services","8697727368.96","8932390000","1.96","84411174","","","/mutual-fund/holding-history/8058/1048/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","8053729934.25","8533339000","1.88","52995525","","","/mutual-fund/holding-history/8058/1366/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","8567603330","8468374000","1.86","6163300","","","/mutual-fund/holding-history/8058/1410/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","7959086954.7","8232686000","1.81","17046663","","","/mutual-fund/holding-history/8058/303/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","8040189575.6","7639473000","1.68","19886692","","","/mutual-fund/holding-history/8058/629/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","7537300005","7636065000","1.68","5281550","","","/mutual-fund/holding-history/8058/584/"
"Cognizant Technology Solutions Corp Class A","","","Technology","","7472729000","1.64","1079430","","",""
"Biocon Ltd","BIOCON","532523","Healthcare","6858623944.9","6556052000","1.44","19520774","","","/mutual-fund/holding-history/8058/197/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","6104577171.7","5850837000","1.29","3152051","","","/mutual-fund/holding-history/8058/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","5986624078.5","5846853000","1.29","4904255","","","/mutual-fund/holding-history/8058/140/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","5592843116.25","5845679000","1.28","8824999","","","/mutual-fund/holding-history/8058/4714/"
